Período,Tipo de vehículo,Combustible,Unidades
2016,Autobuses ,Gasolina,0
2016,Motocicletas ,Gasóleo,6
2016,Otros vehículos ,Gasóleo,541
2016,Motocicletas ,Gasolina,5989
2016,Autobuses ,Gasóleo,118
2016,Remolques y semirremolques ,Gasóleo,0
2016,Otros vehículos ,Gasolina,184
2016,Camiones y furgonetas ,Gasóleo,37640
2016,Remolques y semirremolques ,Gasolina,0
2016,Tractores industriales ,Gasóleo,230
2016,Tractores industriales ,Gasolina,0
2016,Turismos ,Gasolina,31224
2016,Tractores industriales ,Resto de tipos de combustibles,0
2016,Camiones y furgonetas ,Resto de tipos de combustibles,349
2016,Motocicletas ,Resto de tipos de combustibles,128
2016,Otros vehículos ,Resto de tipos de combustibles,116
2016,Turismos ,Gasóleo,102476
2016,Autobuses ,Resto de tipos de combustibles,0
2016,Remolques y semirremolques ,Resto de tipos de combustibles,567
2016,Turismos ,Resto de tipos de combustibles,248
2017,Camiones y furgonetas ,Gasolina,1029
2017,Autobuses ,Gasolina,0
2017,Motocicletas ,Gasóleo,6
2017,Otros vehículos ,Gasóleo,539
2017,Motocicletas ,Gasolina,6187
2017,Autobuses ,Gasóleo,125
2017,Remolques y semirremolques ,Gasóleo,0
2017,Otros vehículos ,Gasolina,179
2017,Camiones y furgonetas ,Gasóleo,36532
2017,Remolques y semirremolques ,Gasolina,0
2017,Tractores industriales ,Gasóleo,232
2017,Tractores industriales ,Gasolina,0
2017,Turismos ,Gasolina,36848
2017,Tractores industriales ,Resto de tipos de combustibles,0
2017,Camiones y furgonetas ,Resto de tipos de combustibles,401
2017,Motocicletas ,Resto de tipos de combustibles,133
2017,Otros vehículos ,Resto de tipos de combustibles,119
2017,Turismos ,Gasóleo,112769
2017,Autobuses ,Resto de tipos de combustibles,0
2017,Remolques y semirremolques ,Resto de tipos de combustibles,609
2017,Turismos ,Resto de tipos de combustibles,512
2018,Camiones y furgonetas ,Gasolina,1275
2018,Autobuses ,Gasolina,0
2018,Motocicletas ,Gasóleo,13
2018,Otros vehículos ,Gasóleo,551
2018,Motocicletas ,Gasolina,6400
2018,Autobuses ,Gasóleo,125
2018,Remolques y semirremolques ,Gasóleo,0
2018,Otros vehículos ,Gasolina,172
2018,Camiones y furgonetas ,Gasóleo,40775
2018,Remolques y semirremolques ,Gasolina,0
2018,Tractores industriales ,Gasóleo,287
2018,Tractores industriales ,Gasolina,0
2018,Turismos ,Gasolina,45311
2018,Tractores industriales ,Resto de tipos de combustibles,0
2018,Camiones y furgonetas ,Resto de tipos de combustibles,655
2018,Motocicletas ,Resto de tipos de combustibles,181
2018,Otros vehículos ,Resto de tipos de combustibles,124
2018,Turismos ,Gasóleo,118089
2018,Autobuses ,Resto de tipos de combustibles,0
2018,Remolques y semirremolques ,Resto de tipos de combustibles,602
2018,Turismos ,Resto de tipos de combustibles,1380
2019,Camiones y furgonetas ,Gasolina,1566
2019,Autobuses ,Gasolina,0
2019,Motocicletas ,Gasóleo,18
2019,Otros vehículos ,Gasóleo,584
2019,Motocicletas ,Gasolina,6668
2019,Autobuses ,Gasóleo,154
2019,Remolques y semirremolques ,Gasóleo,0
2019,Otros vehículos ,Gasolina,175
2019,Camiones y furgonetas ,Gasóleo,43508
2019,Remolques y semirremolques ,Gasolina,0
2019,Tractores industriales ,Gasóleo,221
2019,Tractores industriales ,Gasolina,0
2019,Turismos ,Gasolina,62183
2019,Tractores industriales ,Resto de tipos de combustibles,0
2019,Camiones y furgonetas ,Resto de tipos de combustibles,1363
2019,Motocicletas ,Resto de tipos de combustibles,213
2019,Otros vehículos ,Resto de tipos de combustibles,122
2019,Turismos ,Gasóleo,118463
2019,Autobuses ,Resto de tipos de combustibles,0
2019,Remolques y semirremolques ,Resto de tipos de combustibles,637
2019,Turismos ,Resto de tipos de combustibles,2485
2020,Camiones y furgonetas ,Gasolina,1899
2020,Autobuses ,Gasolina,0
2020,Motocicletas ,Gasóleo,20
2020,Otros vehículos ,Gasóleo,616
2020,Motocicletas ,Gasolina,6804
2020,Autobuses ,Gasóleo,158
2020,Remolques y semirremolques ,Gasóleo,0
2020,Otros vehículos ,Gasolina,174
2020,Camiones y furgonetas ,Gasóleo,47078
2020,Remolques y semirremolques ,Gasolina,0
2020,Tractores industriales ,Gasóleo,246
2020,Tractores industriales ,Gasolina,0
2020,Turismos ,Gasolina,70079
2020,Tractores industriales ,Resto de tipos de combustibles,0
2020,Camiones y furgonetas ,Resto de tipos de combustibles,1464
2020,Motocicletas ,Resto de tipos de combustibles,205
2020,Otros vehículos ,Resto de tipos de combustibles,123
2020,Turismos ,Gasóleo,115701
2020,Autobuses ,Resto de tipos de combustibles,0
2020,Remolques y semirremolques ,Resto de tipos de combustibles,631
2020,Turismos ,Resto de tipos de combustibles,4285
2021,Camiones y furgonetas ,Gasolina,2305
2021,Autobuses ,Gasolina,0
2021,Motocicletas ,Gasóleo,21
2021,Otros vehículos ,Gasóleo,620
2021,Motocicletas ,Gasolina,6849
2021,Autobuses ,Gasóleo,199
2021,Remolques y semirremolques ,Gasóleo,0
2021,Otros vehículos ,Gasolina,169
2021,Camiones y furgonetas ,Gasóleo,51892
2021,Remolques y semirremolques ,Gasolina,0
2021,Tractores industriales ,Gasóleo,244
2021,Tractores industriales ,Gasolina,0
2021,Turismos ,Gasolina,79835
2021,Tractores industriales ,Resto de tipos de combustibles,0
2021,Camiones y furgonetas ,Resto de tipos de combustibles,1711
2021,Motocicletas ,Resto de tipos de combustibles,178
2021,Otros vehículos ,Resto de tipos de combustibles,125
2021,Turismos ,Gasóleo,109772
2021,Autobuses ,Resto de tipos de combustibles,0
2021,Remolques y semirremolques ,Resto de tipos de combustibles,591
2021,Turismos ,Resto de tipos de combustibles,5236
2022,Camiones y furgonetas ,Gasolina,2583
2022,Autobuses ,Gasolina,0
2022,Motocicletas ,Gasóleo,16
2022,Otros vehículos ,Gasóleo,653
2022,Motocicletas ,Gasolina,7036
2022,Autobuses ,Gasóleo,201
2022,Remolques y semirremolques ,Gasóleo,0
2022,Otros vehículos ,Gasolina,174
2022,Camiones y furgonetas ,Gasóleo,51206
2022,Remolques y semirremolques ,Gasolina,0
2022,Tractores industriales ,Gasóleo,472
2022,Tractores industriales ,Gasolina,0
2022,Turismos ,Gasolina,90083
2022,Tractores industriales ,Resto de tipos de combustibles,0
2022,Camiones y furgonetas ,Resto de tipos de combustibles,1640
2022,Motocicletas ,Resto de tipos de combustibles,203
2022,Otros vehículos ,Resto de tipos de combustibles,144
2022,Turismos ,Gasóleo,105600
2022,Autobuses ,Resto de tipos de combustibles,0
2022,Remolques y semirremolques ,Resto de tipos de combustibles,613
2022,Turismos ,Resto de tipos de combustibles,5478
